2509,5303
1676,2908
1886,7293
4881,5634
2111,7438
2658,4859
2808,8419
2646,8395
2897,0538
3131,6106
1419,5608
28492,7435
1842,8642
1760,538
3541,8687
3028,4122
33775,0439
2871,0167
1449,9085
2291,8689
2481,421
1871,4152
31627,3765
1904,5757
3541,3357
33571,9666
3165,9536
1964,5786
2164,807
1849,3375
1947,0408
1813,4104
1328,3817
1548,1265
4103,2313
9373,1397
2854,8888
20944,5854
4252,0977
3863,1292
2778,113
3694,4504
2038,9508
2591,3935
10967,0287
1829,5871
2416,3859
2636,1608
2436,0029
2302,0872
2193,6913
2806,9849
1769,2335
3172,3692
2208,0521
2322,355
2810,003
7743,1687
3020,4879
1641,5879
3178,7264
1763,4549
1840,6654
1380,4341
1828,8025
1806,9226
1539,1805
1780,7074
4936,1168
1138,5359
33195,5751
3139,7628
1924,1708
2926,394
2113,5841
2607,056
1747,4888
2077,3633
2793,5124
2468,2932
2729,7217
1927,673
2065,029
2874,0213
2357,7243
1776,0568
1582,8857
1800,6613
12334,3248
2496,5936
1957,1172
1880,45
1376,8979
2745,6517
2670,0172
2884,0131
5348,607
2888,0597
3316,9066
1783,1876
2504,4715
778,9195
4792,019
2971,9391
2345,0078
1915,4849
2827,8459
2972,0379
3315,8294
3283,2071
1852,2629
3097,6916
2958,6373
2451,528
2318,2978
2096,9973
1574,4305
2464,4551
2753,2996
2441,2233
3370,1768
2620,9344
2404,9933
15057,5708
1750,4708
2391,529
2495,4823
1885,5724
3133,5164
2871,7177
3856,2609
1513,7148
1446,6753
1854,1591
2482,9598
1996,9213
2617,4385
2233,1879
1519,7783
1232,318
1834,385
1930,1026
22115,9209
2754,3249
1882,5908
2090,9299
61803,7983
2537,6399
1521,9782
2285,4278
2431,1165
1900,7829
1999,0745
2630,0347
3032,8438
2292,6882
2446,1196
2061,7925
2670,9391
3675,4726
1355,2742
2850,6579
2594,2372
1852,4607
1913,8824
2107,8731
32637,26
1782,9753
1974,8613
2374,1707
1812,2836
2381,1207
31820,7547
1115,9043
2087,5292
5731,8653
2711,2415
32140,8667
2128,2882
2362,105
3313,3814
2005,8224
1407,5489
2041,0126
2963,3757
3243,0353
1487,3694
1672,8077
2500,0718
1989,6737
2093,7739
1794,0897
2256,8808
2579,7808
3366,4212
7684,0297
1642,9176
3927,4143
2945,5106
1856,7284
2302,5841
3106,4731
3040,5706
1929,3102
4182,2248
56741,2342
1777,1337
1254,5676
1759,0718
1737,0228
2529,2109
2596,7198
1764,5071
2184,0095
3110,7086
2102,5493
32181,4274
2701,4847
3367,9274
2584,812
2547,8122
1878,8974
3120,6566
2641,055
3879,3094
2546,7261
1150,6277
3304,2432
31530,6393
2127,413
1017,0738
3609,9212
3074,9093
3821,3743
2825,3356
1471,8549
2813,7923
2293,4601
2419,0236
2803,0838
1121,3492
4500,1985
3399,8327
4917,0845
15446,6169
2035,4627
2521,499
2027,8381
2226,521
2645,047
1462,9308
2352,9862
1707,8542
22795,7934
4520,6663
15508,3981
1984,0289
3212,9009
2762,7
2227,2723
2498,9733
2116,375
1702,2516
3841,7098
5274,1559
1676,7852
1506,5621
2746,5768
2125,7171
2498,4764
2697,5128
5117,5854
2334,3071
3267,729
2821,1443
1434,2079
3063,8395
1739,4976
4161,2729
2484,3096
2433,9403
1990,9987
1209,8531
2278,5373
2302,2167
2914,0597
2700,109
2352,8762
1663,7867
3739,223
3543,576
1679,0453
3103,2869
2067,7452
2174,4994
2419,6967
1159,8498
2504,2348
2416,1552
1809,5072
2424,6662
3037,601
2292,0593
3660,3474
2575,0371
1737,537
2213,0032
1349,3987
2212,4734
3058,4357
2831,6769
2479,4069
1896,5304
3187,7061
1457,9698
3048,8318
2068,0156
2546,1687
3433,2474
1857,7155
3637,1493
1912,7506
2585,513
2105,2468
2802,4914
2134,0763
1736,1143
2030,152
4911,6991
4308,6242
2581,8537
2224,7794
2590,7282
2944,1707
2507,7151
2306,4197
1549,1043
3075,5619
779,6082
2729,1611
2180,428
1914,2929
2232,0582
2273,2761
2330,9418
2538,7798
2845,9938
32684,6214
3069,4397
2444,6463
5897,0503
2403,434
1979,4076
2640,2838
2097,4478
2754,2166
2367,9366
2107,7723
1804,8618
2236,9375
1906,829
2116,1347
2721,3295
2728,1624
1802,972
2635,8925
2096,207
3467,687
2511,6003
1776,2988
1495,5903
2439,7047
2316,4554
2053,6704
1960,6018
2095,6836
2069,8142
5491,3993
1799,9942
2970,7203
2162,0083
2577,5803
32937,7108
1779,2026
3193,7281
1767,3507
3053,1392
1177,7779
1402,7843
2483,354
1951,1175
2740,6216
2569,0345
2473,2896
6294,6042
2108,9285
33789,6768
2150,4349
2829,6706
2551,9402
2059,2575
3006,6045
1570,4395
1931,7727
2436,956
2660,6486
2721,0765
2564,1913
2781,0688
2747,3395
3104,9626
3049,3705
2756,8769
1416,6181
2700,3295
1903,4808
2980,4573
1466,73
2818,077
63040,7606
2299,928
3901,3729
2401,9522
3635,7807
3729,4672
2804,2276
32788,516
2172,4612
3695,9163
2394,7205
32767,3093
3625,7319
2306,1242
1464,0502
2401,2752
63038,7193
2216,0057
2500,4073
2238,7813
3102,905
5147,3336
3110,0546
2230,1096
1249,5004
2188,9571
1489,5817
3431,4676
2129,0749
2095,8644
2752,8515
1163,878
1451,5135
2284,6181
6559,3931
2861,2811
42969,9513
4243,6454
2943,5007
1767,4714
2990,7057
2772,4774
2746,9031
2181,4883
1803,3046
1878,4954
3245,5852
3397,1221
3483,2202
2874,5635
8948,6412
1729,3303
105136,0596
3581,6088
2713,6799
15981,1262
1382,3126
1885,284
2599,5688
32747,1239
3704,3209
2378,9176
3168,3952
4426,0981
2319,1394
1531,7895
2338,8293
2410,1257
2087,8959
2126,7321
2021,6621
37289,8017
1878,3867
1651,9751
1811,844
1683,0572
2379,2099
1427,1018
1771,6549
2177,0931
2625,223
3069,6666
2077,7441
14835,1303
1332,5687
2820,6807
5796,4545
2988,1211
2316,9353
9470,5947
2111,3786
1871,826
